freq,phase(Zin2)
0.0000000000,-89.9851678940
5000000.0000000000,-89.9851678940
10000000.0000000000,-89.9851678940
15000000.0000000000,-89.9851678940
20000000.0000000000,-89.9851678940
25000000.0000000000,-89.9851678940
30000000.0000000000,-89.9851678940
35000000.0000000000,-89.9851678940
40000000.0000000000,-89.9851678940
45000000.0000000000,-89.9851678940
50000000.0000000000,-89.9059172868
55000000.0000000000,-89.8764708150
60000000.0000000000,-89.8844506074
65000000.0000000000,-89.9212682157
70000000.0000000000,-89.9792229503
75000000.0000000000,-89.9273606051
80000000.0000000000,-89.9060495309
85000000.0000000000,-89.9099650450
90000000.0000000000,-89.9349528222
95000000.0000000000,-89.9754423640
100000000.0000000000,-89.9373409303
105000000.0000000000,-89.9209447010
110000000.0000000149,-89.9233566200
114999999.9999999851,-89.9421739701
120000000.0000000000,-89.9727274831
125000000.0000000000,-89.9429651640
130000000.0000000000,-89.9298421960
135000000.0000000000,-89.9315692362
140000000.0000000000,-89.9466052664
145000000.0000000000,-89.9707383027
150000000.0000000000,-89.9465955953
155000000.0000000000,-89.9358029514
160000000.0000000000,-89.9371654499
165000000.0000000000,-89.9496272466
170000000.0000000000,-89.9692485972
175000000.0000000000,-89.9491310107
180000000.0000000000,-89.9400538028
185000000.0000000000,-89.9411758486
190000000.0000000000,-89.9517399362
195000000.0000000000,-89.9679843166
200000000.0000000000,-89.9508841445
204999999.9999999702,-89.9431065120
210000000.0000000000,-89.9440371440
215000000.0000000000,-89.9531151514
220000000.0000000298,-89.9667276970
225000000.0000000000,-89.9519750219
229999999.9999999702,-89.9452168146
235000000.0000000000,-89.9459920355
240000000.0000000000,-89.9538750021
245000000.0000000298,-89.9653823840
250000000.0000000000,-89.9525185829
254999999.9999999702,-89.9465897410
260000000.0000000000,-89.9472426814
265000000.0000000000,-89.9541483790
270000000.0000000000,-89.9639384432
275000000.0000000000,-89.9525815556
280000000.0000000000,-89.9472957090
285000000.0000000000,-89.9478060124
290000000.0000000000,-89.9538544879
295000000.0000000000,-89.9621950679
300000000.0000000000,-89.9521665907
305000000.0000000000,-89.9474892675
310000000.0000000000,-89.9479465426
315000000.0000000000,-89.9533339444
320000000.0000000000,-89.9605055807
325000000.0000000000,-89.9515416993
330000000.0000000000,-89.9473229943
335000000.0000000000,-89.9476771745
340000000.0000000000,-89.9524407322
345000000.0000000000,-89.9585804672
350000000.0000000000,-89.9505373772
355000000.0000000000,-89.9467226629
360000000.0000000000,-89.9469981726
365000000.0000000000,-89.9512322353
370000000.0000000000,-89.9565019289
375000000.0000000000,-89.9492548357
380000000.0000000000,-89.9457907546
385000000.0000000000,-89.9459982333
390000000.0000000000,-89.9497706631
395000000.0000000000,-89.9542937219
400000000.0000000000,-89.9477355509
405000000.0000000000,-89.9445749680
409999999.9999999404,-89.9447215887
415000000.0000000596,-89.9480886942
420000000.0000000000,-89.9519612425
425000000.0000000000,-89.9459784330
430000000.0000000000,-89.9430564755
434999999.9999999404,-89.9431217981
440000000.0000000596,-89.9461036332
445000000.0000000000,-89.9494002860
450000000.0000000000,-89.9439642465
455000000.0000000000,-89.9412933378
459999999.9999999404,-89.9413274964
465000000.0000000596,-89.9440088274
470000000.0000000000,-89.9468292939
475000000.0000000000,-89.9418252236
480000000.0000000000,-89.9393262180
484999999.9999999404,-89.9392831225
490000000.0000000596,-89.9416484766
495000000.0000000000,-89.9440220779
500000000.0000000000,-89.9394351124
505000000.0000000000,-89.9371228671
509999999.9999999404,-89.9370450577
515000000.0000000596,-89.9391627373
520000000.0000000000,-89.9411673655
525000000.0000000000,-89.9369324795
530000000.0000000000,-89.9347676707
534999999.9999999404,-89.9346399034
540000000.0000000000,-89.9365172075
545000000.0000000000,-89.9381822389
550000000.0000000000,-89.9342436857
555000000.0000000000,-89.9321936315
560000000.0000000000,-89.9320049711
565000000.0000000000,-89.9336514580
570000000.0000000000,-89.9350149300
575000000.0000000000,-89.9313738804
580000000.0000000000,-89.9294586898
585000000.0000000000,-89.9292471385
590000000.0000000000,-89.9307177054
595000000.0000000000,-89.9318299303
600000000.0000000000,-89.9284202115
605000000.0000000000,-89.9265911451
610000000.0000000000,-89.9263245381
615000000.0000000000,-89.9276027712
620000000.0000000000,-89.9284766822
625000000.0000000000,-89.9252997245
630000000.0000000000,-89.9235730701
635000000.0000000000,-89.9232818570
640000000.0000000000,-89.9244116994
645000000.0000000000,-89.9250835481
650000000.0000000000,-89.9220760892
655000000.0000000000,-89.9204020779
660000000.0000000000,-89.9200494083
665000000.0000000000,-89.9210063729
670000000.0000000000,-89.9214795704
675000000.0000000000,-89.9186531966
680000000.0000000000,-89.9170546133
685000000.0000000000,-89.9166740065
690000000.0000000000,-89.9175018995
695000000.0000000000,-89.9178153318
700000000.0000000000,-89.9151400346
705000000.0000000000,-89.9135976709
710000000.0000000000,-89.9131803280
715000000.0000000000,-89.9138803812
720000000.0000000000,-89.9140466937
725000000.0000000000,-89.9115167954
730000000.0000000000,-89.9100338474
735000000.0000000000,-89.9095915222
740000000.0000000000,-89.9101837402
745000000.0000000000,-89.9102195355
750000000.0000000000,-89.9077993542
755000000.0000000000,-89.9063482737
760000000.0000000000,-89.9058612849
765000000.0000000000,-89.9063335938
770000000.0000000000,-89.9062440409
775000000.0000000000,-89.9039406659
780000000.0000000000,-89.9025359957
785000000.0000000000,-89.9020261200
790000000.0000000000,-89.9024073170
795000000.0000000000,-89.9022126809
800000000.0000000000,-89.8999998606
805000000.0000001192,-89.8986215463
810000000.0000000000,-89.8980747436
815000000.0000000000,-89.8983566249
819999999.9999998808,-89.8980577361
825000000.0000000000,-89.8959257375
830000000.0000001192,-89.8945701249
835000000.0000000000,-89.8939886667
840000000.0000000000,-89.8941792789
844999999.9999998808,-89.8937883707
850000000.0000000000,-89.8917333317
855000000.0000001192,-89.8904014965
860000000.0000000000,-89.8897912691
865000000.0000000000,-89.8899011859
869999999.9999998808,-89.8894275237
875000000.0000000000,-89.8874367537
880000000.0000001192,-89.8861208462
885000000.0000000000,-89.8854787340
890000000.0000000000,-89.8855094692
894999999.9999998808,-89.8849604660
900000000.0000000000,-89.8830334465
905000000.0000001192,-89.8817370152
910000000.0000000000,-89.8810705447
915000000.0000000000,-89.8810335156
919999999.9999998808,-89.8804164427
925000000.0000000000,-89.8785402131
930000000.0000001192,-89.8772540948
935000000.0000000000,-89.8765578254
940000000.0000000000,-89.8764512407
944999999.9999998808,-89.8757681442
950000000.0000000000,-89.8739356931
955000000.0000001192,-89.8726561506
960000000.0000000000,-89.8719295558
965000000.0000000000,-89.8717560379
969999999.9999998808,-89.8710134374
975000000.0000000000,-89.8692253545
980000000.0000001192,-89.8679561863
985000000.0000000000,-89.8672062214
990000000.0000000000,-89.8669758312
994999999.9999998808,-89.8661769458
1000000000.0000000000,-89.8644176137
1005000000.0000001192,-89.8631458530
1010000000.0000000000,-89.8623621568
1015000000.0000001192,-89.8620670942
1020000000.0000000000,-89.8612173998
1024999999.9999998808,-89.8594996414
1030000000.0000000000,-89.8582405951
1034999999.9999998808,-89.8574409219
1040000000.0000000000,-89.8571013534
1044999999.9999998808,-89.8562021989
1050000000.0000000000,-89.8544955596
1055000000.0000001192,-89.8532211326
1060000000.0000000000,-89.8523797145
1065000000.0000000000,-89.8519721674
1069999999.9999998808,-89.8510179277
1075000000.0000000000,-89.8493316469
1080000000.0000000000,-89.8480530264
1085000000.0000000000,-89.8471829723
1090000000.0000000000,-89.8467224517
1095000000.0000000000,-89.8457300442
1100000000.0000000000,-89.8440772448
1105000000.0000000000,-89.8428094841
1109999999.9999997616,-89.8419277566
1115000000.0000000000,-89.8414331141
1119999999.9999997616,-89.8404028137
1125000000.0000000000,-89.8387566149
1130000000.0000002384,-89.8374744895
1135000000.0000000000,-89.8365575008
1140000000.0000002384,-89.8360067653
1145000000.0000000000,-89.8349272869
1150000000.0000000000,-89.8332833741
1155000000.0000000000,-89.8319840445
1160000000.0000000000,-89.8310304137
1165000000.0000000000,-89.8304236473
1170000000.0000000000,-89.8293117959
1175000000.0000000000,-89.8276990796
1180000000.0000002384,-89.8264130255
1185000000.0000000000,-89.8254547906
