freq,mag(Zin2)
45000000.0000000000,1543.3347886465
50000000.0000000000,1389.2723783126
55000000.0000000000,1263.0614921693
60000000.0000000000,1157.7672340551
65000000.0000000000,1068.5794268572
70000000.0000000000,992.0623186170
75000000.0000000000,926.0810054812
80000000.0000000000,868.2482065799
85000000.0000000000,817.1379158567
90000000.0000000000,771.6381308023
95000000.0000000000,730.8766315816
100000000.0000000000,694.4365602992
105000000.0000000000,661.3956283548
110000000.0000000149,631.2968444641
114999999.9999999851,603.7614505705
120000000.0000000000,578.4817023828
125000000.0000000000,555.4132577616
130000000.0000000000,534.0641508099
135000000.0000000000,514.2473797468
140000000.0000000000,495.8020254403
145000000.0000000000,478.5984082268
150000000.0000000000,462.6943427031
155000000.0000000000,447.7716852778
160000000.0000000000,433.7411369735
165000000.0000000000,420.5238651413
170000000.0000000000,408.0599839490
175000000.0000000000,396.4346940865
180000000.0000000000,385.4179829613
185000000.0000000000,374.9624258839
190000000.0000000000,365.0253721348
195000000.0000000000,355.5786835015
200000000.0000000000,346.7120604876
204999999.9999999702,338.2461320822
210000000.0000000000,330.1536956031
215000000.0000000000,322.4099383561
220000000.0000000298,315.0026233574
225000000.0000000000,308.0167813669
229999999.9999999702,301.3070803374
235000000.0000000000,294.8569727478
240000000.0000000000,288.6511958816
245000000.0000000298,282.6861450096
250000000.0000000000,277.0398100093
254999999.9999999702,271.5906864708
260000000.0000000000,266.3282356815
265000000.0000000000,261.2426492063
270000000.0000000000,256.3352663152
275000000.0000000000,251.6764780554
280000000.0000000000,247.1626241211
285000000.0000000000,242.7867406484
290000000.0000000000,238.5422979002
295000000.0000000000,234.4335582264
300000000.0000000000,230.5234509020
305000000.0000000000,226.7223996355
310000000.0000000000,223.0256608893
315000000.0000000000,219.4287589527
320000000.0000000000,215.9377964789
325000000.0000000000,212.6091003242
330000000.0000000000,209.3640755353
335000000.0000000000,206.1994092235
340000000.0000000000,203.1119588526
345000000.0000000000,200.1089050697
350000000.0000000000,197.2403421060
355000000.0000000000,194.4370571074
360000000.0000000000,191.6966859789
365000000.0000000000,189.0169758826
370000000.0000000000,186.4057698664
375000000.0000000000,183.9076781359
380000000.0000000000,181.4612474372
385000000.0000000000,179.0647594097
390000000.0000000000,176.7165700207
395000000.0000000000,174.4248841590
400000000.0000000000,172.2293380893
405000000.0000000000,170.0751907873
409999999.9999999404,167.9611729535
415000000.0000000596,165.8860659449
420000000.0000000000,163.8583072930
425000000.0000000000,161.9132667102
430000000.0000000000,160.0017594689
434999999.9999999404,158.1228349210
440000000.0000000596,156.2755775383
445000000.0000000000,154.4684741938
450000000.0000000000,152.7329600449
455000000.0000000000,151.0248746097
459999999.9999999404,149.3434968294
465000000.0000000596,147.6881303822
470000000.0000000000,146.0672400252
475000000.0000000000,144.5088140198
480000000.0000000000,142.9730179883
484999999.9999999404,141.4592988546
490000000.0000000596,139.9671212113
495000000.0000000000,138.5048541079
500000000.0000000000,137.0973801179
505000000.0000000000,135.7087243966
509999999.9999999404,134.3384583352
515000000.0000000596,132.9861661095
520000000.0000000000,131.6601214014
525000000.0000000000,130.3825157710
530000000.0000000000,129.1206669991
534999999.9999999404,127.8742399313
540000000.0000000000,126.6429087691
545000000.0000000000,125.4347748683
550000000.0000000000,124.2695488892
555000000.0000000000,123.1176026861
560000000.0000000000,121.9786719212
565000000.0000000000,120.8524991784
570000000.0000000000,119.7470036694
575000000.0000000000,118.6797067642
580000000.0000000000,117.6236693401
585000000.0000000000,116.5786812425
590000000.0000000000,115.5445374900
595000000.0000000000,114.5289882106
600000000.0000000000,113.5476254208
605000000.0000000000,112.5758596776
610000000.0000000000,111.6135227285
615000000.0000000000,110.6604502219
620000000.0000000000,109.7241828991
625000000.0000000000,108.8185524570
630000000.0000000000,107.9211442991
635000000.0000000000,107.0318227829
640000000.0000000000,106.1504552334
645000000.0000000000,105.2843767670
650000000.0000000000,104.4458580918
655000000.0000000000,103.6144169237
660000000.0000000000,102.7899432129
665000000.0000000000,101.9723291856
670000000.0000000000,101.1687083862
675000000.0000000000,100.3899623939
680000000.0000000000,99.6173354225
685000000.0000000000,98.8507376449
690000000.0000000000,98.0900809935
695000000.0000000000,97.3422762098
700000000.0000000000,96.6169284006
705000000.0000000000,95.8968931420
710000000.0000000000,95.1820966893
715000000.0000000000,94.4724666672
720000000.0000000000,93.7747313067
725000000.0000000000,93.0973862231
730000000.0000000000,92.4246706811
735000000.0000000000,91.7565238254
740000000.0000000000,91.0928858740
745000000.0000000000,90.4402783505
750000000.0000000000,89.8061817055
755000000.0000000000,89.1761344057
760000000.0000000000,88.5500859672
765000000.0000000000,87.9279867531
770000000.0000000000,87.3161457501
775000000.0000000000,86.7211213008
780000000.0000000000,86.1296513084
785000000.0000000000,85.5416936822
790000000.0000000000,84.9572070040
795000000.0000000000,84.3823301211
800000000.0000000000,83.8228185778
805000000.0000001192,83.2664367345
810000000.0000000000,82.7131493410
815000000.0000000000,82.1629216844
819999999.9999998808,81.6216873252
825000000.0000000000,81.0944538570
830000000.0000001192,80.5699848722
835000000.0000000000,80.0482507137
840000000.0000000000,79.5292221559
844999999.9999998808,79.0186557003
850000000.0000000000,78.5209047830
855000000.0000001192,78.0256029925
860000000.0000000000,77.5327252677
865000000.0000000000,77.0422468963
869999999.9999998808,76.5597380452
875000000.0000000000,76.0889521210
880000000.0000001192,75.6203420262
885000000.0000000000,75.1538864961
890000000.0000000000,74.6895645492
894999999.9999998808,74.2327715732
900000000.0000000000,73.7867248369
905000000.0000001192,73.3426164968
910000000.0000000000,72.9004284339
915000000.0000000000,72.4601427603
919999999.9999998808,72.0269970411
925000000.0000000000,71.6037244727
930000000.0000001192,71.1821829146
935000000.0000000000,70.7623568725
940000000.0000000000,70.3442310415
944999999.9999998808,69.9328803769
950000000.0000000000,69.5306029157
955000000.0000001192,69.1298751838
960000000.0000000000,68.7306838792
965000000.0000000000,68.3330158559
969999999.9999998808,67.9417771233
975000000.0000000000,67.5588685386
980000000.0000001192,67.1773507772
985000000.0000000000,66.7972123767
990000000.0000000000,66.4184420040
994999999.9999998808,66.0458099846
1000000000.0000000000,65.6808639360
1005000000.0000001192,65.3171686839
1010000000.0000000000,64.9547143185
1015000000.0000001192,64.5934910375
1020000000.0000000000,64.2381197609
1024999999.9999998808,63.8898282452
1030000000.0000000000,63.5426641688
1034999999.9999998808,63.1966189339
1040000000.0000000000,62.8516840324
1044999999.9999998808,62.5123321133
1050000000.0000000000,62.1795016254
1055000000.0000001192,61.8476894291
1060000000.0000000000,61.5168880407
1065000000.0000000000,61.1870900513
1069999999.9999998808,60.8626351305
1075000000.0000000000,60.5442032684
1080000000.0000000000,60.2266930575
1085000000.0000000000,59.9100979614
1090000000.0000000000,59.5944115065
1095000000.0000000000,59.2838495889
1100000000.0000000000,58.9788554623
1105000000.0000000000,58.6746970329
1109999999.9999997616,58.3713685755
1115000000.0000000000,58.0688644180
1119999999.9999997616,57.7712702214
1125000000.0000000000,57.4788182093
1130000000.0000002384,57.1871253627
1135000000.0000000000,56.8961866509
1140000000.0000002384,56.6059970883
1145000000.0000000000,56.3205253463
1150000000.0000000000,56.0398139819
1155000000.0000000000,55.7597934844
1160000000.0000000000,55.4804594200
1165000000.0000000000,55.2018073937
1170000000.0000000000,54.9276826196
1175000000.0000000000,54.6579567401
1180000000.0000002384,54.3888607280
1185000000.0000000000,54.1203906649
1190000000.0000000000,53.8525426652
1194999999.9999997616,53.5890441918
1200000000.0000000000,53.3296133966
1205000000.0000000000,53.0707577747
1210000000.0000000000,52.8124738530
1215000000.0000000000,52.5547581864
1220000000.0000000000,52.3012466984
1225000000.0000000000,52.0515148883
1230000000.0000000000,51.8023090729
1234999999.9999997616,51.5536261657
1240000000.0000000000,51.3054631045
1244999999.9999997616,51.0613444347
1250000000.0000000000,50.8207220780
1255000000.0000002384,50.5805815427
1260000000.0000000000,50.3409200786
1265000000.0000002384,50.1017349563
1270000000.0000000000,49.8664448031
1275000000.0000000000,49.6343908233
1280000000.0000000000,49.4027788485
1285000000.0000000000,49.1716064220
1290000000.0000000000,48.9408711050
1295000000.0000000000,48.7138994607
1300000000.0000000000,48.4899316777
1305000000.0000002384,48.2663700184
1310000000.0000000000,48.0432122824
1315000000.0000000000,47.8204562845
1319999999.9999997616,47.6013374351
1325000000.0000000000,47.3850035890
1330000000.0000000000,47.1690433139
1335000000.0000000000,46.9534546343
1340000000.0000000000,46.7382355883
1345000000.0000000000,46.5265362477
1350000000.0000000000,46.3174230149
1355000000.0000000000,46.1086539249
1359999999.9999997616,45.9002271997
1365000000.0000000000,45.6921410732
1369999999.9999997616,45.4874488444
1375000000.0000000000,45.2851484828
1380000000.0000002384,45.0831655625
1385000000.0000000000,44.8814984795
1390000000.0000002384,44.6801456400
1395000000.0000000000,44.4820885651
1400000000.0000000000,44.2862559069
1405000000.0000000000,44.0907164192
1410000000.0000000000,43.8954686519
1415000000.0000000000,43.7005111641
1420000000.0000000000,43.5087338083
1425000000.0000000000,43.3190128447
1430000000.0000002384,43.1295629567
1435000000.0000000000,42.9403828307
1440000000.0000000000,42.7514711607
1444999999.9999997616,42.5656569613
1450000000.0000000000,42.3817597010
1455000000.0000000000,42.1981133856
1460000000.0000000000,42.0147168219
1465000000.0000000000,41.8315688237
1470000000.0000000000,41.6514008967
1475000000.0000000000,41.4729980545
1480000000.0000000000,41.2948278061
1484999999.9999997616,41.1168890658
1490000000.0000000000,40.9391807538
1494999999.9999997616,40.7643864101
1500000000.0000000000,40.5912399762
1505000000.0000002384,40.4183093493
1510000000.0000000000,40.2455935394
1515000000.0000002384,40.0730915618
1520000000.0000000000,39.9034042425
1525000000.0000000000,39.7352377893
1530000000.0000000000,39.5672717577
1535000000.0000000000,39.3995052432
1540000000.0000000000,39.2319373459
1545000000.0000000000,39.0671073383
1550000000.0000000000,38.9036891243
1555000000.0000002384,38.7404572541
1560000000.0000000000,38.5774108997
1565000000.0000000000,38.4145492372
1569999999.9999997616,38.2543471087
1575000000.0000000000,38.0954526835
1580000000.0000000000,37.9367316794
1585000000.0000000000,37.7781833367
1590000000.0000000000,37.6198068998
1595000000.0000000000,37.4640032034
1600000000.0000000000,37.3094050395
1605000000.0000000000,37.1549684272
1610000000.0000000000,37.0006926686
1614999999.9999997616,36.8465770690
1619999999.9999997616,36.6949817981
1625000000.0000000000,36.5445088265
1630000000.0000002384,36.3941864883
1635000000.0000002384,36.2440141412
1640000000.0000000000,36.0939911454
1645000000.0000000000,35.9464139079
1650000000.0000000000,35.7998721092
1655000000.0000000000,35.6534708896
1660000000.0000002384,35.5072096564
1664999999.9999997616,35.3610878197
1670000000.0000000000,35.2173358386
1675000000.0000000000,35.0745367258
1680000000.0000002384,34.9318689053
